POD	eigenval	sigma	acc_eigenval	part_E	acc_part_E
86	2.925303e-12	1.710358e-06	2.237e+05	1.308e-17	1.000000
87	2.925303e-12	1.710358e-06	2.237e+05	1.308e-17	1.000000
88	2.915749e-12	1.707875e-06	2.237e+05	1.304e-17	1.000000
89	2.915749e-12	1.707875e-06	2.237e+05	1.304e-17	1.000000
90	2.893602e-12	1.701099e-06	2.237e+05	1.294e-17	1.000000
91	2.893602e-12	1.701099e-06	2.237e+05	1.294e-17	1.000000
92	2.878926e-12	1.696799e-06	2.237e+05	1.287e-17	1.000000
93	2.878926e-12	1.696799e-06	2.237e+05	1.287e-17	1.000000
94	2.874120e-12	1.695637e-06	2.237e+05	1.285e-17	1.000000
95	2.874120e-12	1.695637e-06	2.237e+05	1.285e-17	1.000000
96	2.860735e-12	1.691534e-06	2.237e+05	1.279e-17	1.000000
97	2.860735e-12	1.691534e-06	2.237e+05	1.279e-17	1.000000
98	2.856832e-12	1.691077e-06	2.237e+05	1.277e-17	1.000000
99	2.856832e-12	1.691077e-06	2.237e+05	1.277e-17	1.000000
100	2.848804e-12	1.688473e-06	2.237e+05	1.274e-17	1.000000
101	2.848804e-12	1.688473e-06	2.237e+05	1.274e-17	1.000000
102	2.842370e-12	1.687397e-06	2.237e+05	1.271e-17	1.000000
103	2.842370e-12	1.687397e-06	2.237e+05	1.271e-17	1.000000
104	2.820380e-12	1.679448e-06	2.237e+05	1.261e-17	1.000000
105	2.820380e-12	1.679448e-06	2.237e+05	1.261e-17	1.000000
106	2.820065e-12	1.679305e-06	2.237e+05	1.261e-17	1.000000
107	2.815416e-12	1.678971e-06	2.237e+05	1.259e-17	1.000000
108	2.815416e-12	1.678971e-06	2.237e+05	1.259e-17	1.000000
109	2.805488e-12	1.675243e-06	2.237e+05	1.254e-17	1.000000
110	2.805488e-12	1.675243e-06	2.237e+05	1.254e-17	1.000000
111	2.797998e-12	1.673309e-06	2.237e+05	1.251e-17	1.000000
112	2.797998e-12	1.673309e-06	2.237e+05	1.251e-17	1.000000
113	2.771138e-12	1.666082e-06	2.237e+05	1.239e-17	1.000000
114	2.771138e-12	1.666082e-06	2.237e+05	1.239e-17	1.000000
115	2.758840e-12	1.661488e-06	2.237e+05	1.233e-17	1.000000
116	2.758840e-12	1.661488e-06	2.237e+05	1.233e-17	1.000000
117	2.752548e-12	1.659095e-06	2.237e+05	1.231e-17	1.000000
118	2.752548e-12	1.659095e-06	2.237e+05	1.231e-17	1.000000
119	2.749597e-12	1.658379e-06	2.237e+05	1.229e-17	1.000000
120	2.749597e-12	1.658379e-06	2.237e+05	1.229e-17	1.000000
121	2.749347e-12	1.658116e-06	2.237e+05	1.229e-17	1.000000
122	2.745764e-12	1.657253e-06	2.237e+05	1.228e-17	1.000000
123	2.745764e-12	1.657253e-06	2.237e+05	1.228e-17	1.000000
124	2.745593e-12	1.658038e-06	2.237e+05	1.228e-17	1.000000
125	2.745593e-12	1.658038e-06	2.237e+05	1.228e-17	1.000000
126	2.731404e-12	1.654907e-06	2.237e+05	1.221e-17	1.000000
127	2.731404e-12	1.654907e-06	2.237e+05	1.221e-17	1.000000
128	2.711495e-12	1.648065e-06	2.237e+05	1.212e-17	1.000000
129	2.711495e-12	1.648065e-06	2.237e+05	1.212e-17	1.000000
130	2.706680e-12	1.645272e-06	2.237e+05	1.210e-17	1.000000
131	2.706680e-12	1.645272e-06	2.237e+05	1.210e-17	1.000000
132	2.702420e-12	1.644458e-06	2.237e+05	1.208e-17	1.000000
133	2.702420e-12	1.644458e-06	2.237e+05	1.208e-17	1.000000
134	2.695072e-12	1.641668e-06	2.237e+05	1.205e-17	1.000000
135	2.691359e-12	1.640675e-06	2.237e+05	1.203e-17	1.000000
136	2.691359e-12	1.640675e-06	2.237e+05	1.203e-17	1.000000
137	2.690518e-12	1.641281e-06	2.237e+05	1.203e-17	1.000000
138	2.690518e-12	1.641281e-06	2.237e+05	1.203e-17	1.000000
139	2.689841e-12	1.640524e-06	2.237e+05	1.203e-17	1.000000
140	2.689841e-12	1.640524e-06	2.237e+05	1.203e-17	1.000000
141	2.667472e-12	1.634492e-06	2.237e+05	1.193e-17	1.000000
142	2.667472e-12	1.634492e-06	2.237e+05	1.193e-17	1.000000
143	2.649591e-12	1.627787e-06	2.237e+05	1.185e-17	1.000000
144	2.649591e-12	1.627787e-06	2.237e+05	1.185e-17	1.000000
145	2.647395e-12	1.627263e-06	2.237e+05	1.184e-17	1.000000
146	2.647395e-12	1.627263e-06	2.237e+05	1.184e-17	1.000000
147	2.646213e-12	1.628940e-06	2.237e+05	1.183e-17	1.000000
148	2.646213e-12	1.628940e-06	2.237e+05	1.183e-17	1.000000
149	2.633315e-12	1.624139e-06	2.237e+05	1.177e-17	1.000000
150	2.633315e-12	1.624139e-06	2.237e+05	1.177e-17	1.000000
151	2.630944e-12	1.622019e-06	2.237e+05	1.176e-17	1.000000
152	2.621702e-12	1.619965e-06	2.237e+05	1.172e-17	1.000000
153	2.621702e-12	1.619965e-06	2.237e+05	1.172e-17	1.000000
154	2.612360e-12	1.616297e-06	2.237e+05	1.168e-17	1.000000
155	2.612360e-12	1.616297e-06	2.237e+05	1.168e-17	1.000000
156	2.606491e-12	1.616714e-06	2.237e+05	1.165e-17	1.000000
157	2.606491e-12	1.616714e-06	2.237e+05	1.165e-17	1.000000
158	2.603665e-12	1.614218e-06	2.237e+05	1.164e-17	1.000000
159	2.603665e-12	1.614218e-06	2.237e+05	1.164e-17	1.000000
160	2.598772e-12	1.612505e-06	2.237e+05	1.162e-17	1.000000
161	2.598772e-12	1.612505e-06	2.237e+05	1.162e-17	1.000000
162	2.584512e-12	1.608480e-06	2.237e+05	1.156e-17	1.000000
163	2.584512e-12	1.608480e-06	2.237e+05	1.156e-17	1.000000
164	2.578670e-12	1.606024e-06	2.237e+05	1.153e-17	1.000000
165	2.578670e-12	1.606024e-06	2.237e+05	1.153e-17	1.000000
166	2.578364e-12	1.605791e-06	2.237e+05	1.153e-17	1.000000
167	2.578364e-12	1.605791e-06	2.237e+05	1.153e-17	1.000000
168	2.576398e-12	1.607214e-06	2.237e+05	1.152e-17	1.000000
169	2.576398e-12	1.607214e-06	2.237e+05	1.152e-17	1.000000
170	2.566002e-12	1.604930e-06	2.237e+05	1.147e-17	1.000000
171	2.566002e-12	1.604930e-06	2.237e+05	1.147e-17	1.000000
172	2.561843e-12	1.601797e-06	2.237e+05	1.145e-17	1.000000
173	2.561843e-12	1.601797e-06	2.237e+05	1.145e-17	1.000000
174	2.555904e-12	1.598720e-06	2.237e+05	1.143e-17	1.000000
175	2.550421e-12	1.597004e-06	2.237e+05	1.140e-17	1.000000
176	2.549132e-12	1.596942e-06	2.237e+05	1.140e-17	1.000000
177	2.549132e-12	1.596942e-06	2.237e+05	1.140e-17	1.000000
178	2.538181e-12	1.594807e-06	2.237e+05	1.135e-17	1.000000
179	2.538181e-12	1.594807e-06	2.237e+05	1.135e-17	1.000000
180	2.536752e-12	1.592920e-06	2.237e+05	1.134e-17	1.000000
181	2.536752e-12	1.592920e-06	2.237e+05	1.134e-17	1.000000
182	2.531660e-12	1.592030e-06	2.237e+05	1.132e-17	1.000000
183	2.531660e-12	1.592030e-06	2.237e+05	1.132e-17	1.000000
184	2.521802e-12	1.588018e-06	2.237e+05	1.128e-17	1.000000
185	2.520518e-12	1.588192e-06	2.237e+05	1.127e-17	1.000000
186	2.520518e-12	1.588192e-06	2.237e+05	1.127e-17	1.000000
187	2.520443e-12	1.590629e-06	2.237e+05	1.127e-17	1.000000
188	2.520443e-12	1.590629e-06	2.237e+05	1.127e-17	1.000000
189	2.509764e-12	1.586240e-06	2.237e+05	1.122e-17	1.000000
190	2.509764e-12	1.586240e-06	2.237e+05	1.122e-17	1.000000
191	2.504204e-12	1.585517e-06	2.237e+05	1.120e-17	1.000000
192	2.504204e-12	1.585517e-06	2.237e+05	1.120e-17	1.000000
193	2.488934e-12	1.577636e-06	2.237e+05	1.113e-17	1.000000
194	2.479927e-12	1.575025e-06	2.237e+05	1.109e-17	1.000000
195	2.479927e-12	1.575025e-06	2.237e+05	1.109e-17	1.000000
196	2.467022e-12	1.570717e-06	2.237e+05	1.103e-17	1.000000
197	2.467022e-12	1.570717e-06	2.237e+05	1.103e-17	1.000000
198	2.463197e-12	1.570808e-06	2.237e+05	1.101e-17	1.000000
199	2.463197e-12	1.570808e-06	2.237e+05	1.101e-17	1.000000
200	2.458616e-12	1.568681e-06	2.237e+05	1.099e-17	1.000000
201	2.458616e-12	1.568681e-06	2.237e+05	1.099e-17	1.000000
202	2.454848e-12	1.566915e-06	2.237e+05	1.098e-17	1.000000
203	2.454848e-12	1.566915e-06	2.237e+05	1.098e-17	1.000000
204	2.450600e-12	1.565810e-06	2.237e+05	1.096e-17	1.000000
205	2.450600e-12	1.565810e-06	2.237e+05	1.096e-17	1.000000
206	2.446636e-12	1.566293e-06	2.237e+05	1.094e-17	1.000000
207	2.446636e-12	1.566293e-06	2.237e+05	1.094e-17	1.000000
208	2.444934e-12	1.564816e-06	2.237e+05	1.093e-17	1.000000
209	2.444934e-12	1.564816e-06	2.237e+05	1.093e-17	1.000000
210	2.442988e-12	1.566788e-06	2.237e+05	1.092e-17	1.000000
211	2.442988e-12	1.566788e-06	2.237e+05	1.092e-17	1.000000
212	2.439982e-12	1.562044e-06	2.237e+05	1.091e-17	1.000000
213	2.432390e-12	1.563036e-06	2.237e+05	1.088e-17	1.000000
214	2.432390e-12	1.563036e-06	2.237e+05	1.088e-17	1.000000
215	2.424736e-12	1.557223e-06	2.237e+05	1.084e-17	1.000000
216	2.424736e-12	1.557223e-06	2.237e+05	1.084e-17	1.000000
217	2.414252e-12	1.556646e-06	2.237e+05	1.079e-17	1.000000
218	2.414252e-12	1.556646e-06	2.237e+05	1.079e-17	1.000000
219	2.411861e-12	1.553762e-06	2.237e+05	1.078e-17	1.000000
220	2.411861e-12	1.553762e-06	2.237e+05	1.078e-17	1.000000
221	2.410497e-12	1.554323e-06	2.237e+05	1.078e-17	1.000000
222	2.410497e-12	1.554323e-06	2.237e+05	1.078e-17	1.000000
223	2.394695e-12	1.547756e-06	2.237e+05	1.071e-17	1.000000
224	2.394695e-12	1.547756e-06	2.237e+05	1.071e-17	1.000000
225	2.393479e-12	1.547087e-06	2.237e+05	1.070e-17	1.000000
226	2.389832e-12	1.546436e-06	2.237e+05	1.068e-17	1.000000
227	2.389832e-12	1.546436e-06	2.237e+05	1.068e-17	1.000000
228	2.387683e-12	1.547542e-06	2.237e+05	1.068e-17	1.000000
229	2.387683e-12	1.547542e-06	2.237e+05	1.068e-17	1.000000
230	2.373732e-12	1.541605e-06	2.237e+05	1.061e-17	1.000000
231	2.373732e-12	1.541605e-06	2.237e+05	1.061e-17	1.000000
232	2.362494e-12	1.539595e-06	2.237e+05	1.056e-17	1.000000
233	2.362494e-12	1.539595e-06	2.237e+05	1.056e-17	1.000000
234	2.359296e-12	1.537394e-06	2.237e+05	1.055e-17	1.000000
235	2.359296e-12	1.537394e-06	2.237e+05	1.055e-17	1.000000
236	2.359126e-12	1.537655e-06	2.237e+05	1.055e-17	1.000000
237	2.359126e-12	1.537655e-06	2.237e+05	1.055e-17	1.000000
238	2.357297e-12	1.535474e-06	2.237e+05	1.054e-17	1.000000
239	2.357297e-12	1.535474e-06	2.237e+05	1.054e-17	1.000000
240	2.342751e-12	1.530621e-06	2.237e+05	1.047e-17	1.000000
241	2.342751e-12	1.530621e-06	2.237e+05	1.047e-17	1.000000
242	2.338016e-12	1.530002e-06	2.237e+05	1.045e-17	1.000000
243	2.338016e-12	1.530002e-06	2.237e+05	1.045e-17	1.000000
244	2.337043e-12	1.532330e-06	2.237e+05	1.045e-17	1.000000
245	2.337043e-12	1.532330e-06	2.237e+05	1.045e-17	1.000000
246	2.336507e-12	1.529018e-06	2.237e+05	1.045e-17	1.000000
247	2.336507e-12	1.529018e-06	2.237e+05	1.045e-17	1.000000
248	2.333306e-12	1.532931e-06	2.237e+05	1.043e-17	1.000000
249	2.333306e-12	1.532931e-06	2.237e+05	1.043e-17	1.000000
250	2.323229e-12	1.527106e-06	2.237e+05	1.039e-17	1.000000
251	2.323229e-12	1.527106e-06	2.237e+05	1.039e-17	1.000000
252	2.313029e-12	1.520883e-06	2.237e+05	1.034e-17	1.000000
253	2.313029e-12	1.520883e-06	2.237e+05	1.034e-17	1.000000
254	2.310148e-12	1.521773e-06	2.237e+05	1.033e-17	1.000000
255	2.310148e-12	1.521773e-06	2.237e+05	1.033e-17	1.000000
256	2.308752e-12	1.519593e-06	2.237e+05	1.032e-17	1.000000
257	2.308752e-12	1.519593e-06	2.237e+05	1.032e-17	1.000000
258	2.306138e-12	1.523416e-06	2.237e+05	1.031e-17	1.000000
259	2.306138e-12	1.523416e-06	2.237e+05	1.031e-17	1.000000
260	2.292258e-12	1.518419e-06	2.237e+05	1.025e-17	1.000000
261	2.292258e-12	1.518419e-06	2.237e+05	1.025e-17	1.000000
262	2.288022e-12	1.513443e-06	2.237e+05	1.023e-17	1.000000
263	2.288022e-12	1.513443e-06	2.237e+05	1.023e-17	1.000000
264	2.279359e-12	1.510445e-06	2.237e+05	1.019e-17	1.000000
265	2.279359e-12	1.510445e-06	2.237e+05	1.019e-17	1.000000
266	2.276872e-12	1.509072e-06	2.237e+05	1.018e-17	1.000000
267	2.276872e-12	1.509072e-06	2.237e+05	1.018e-17	1.000000
268	2.276181e-12	1.511172e-06	2.237e+05	1.018e-17	1.000000
269	2.276181e-12	1.511172e-06	2.237e+05	1.018e-17	1.000000
270	2.267402e-12	1.506134e-06	2.237e+05	1.014e-17	1.000000
271	2.267402e-12	1.506134e-06	2.237e+05	1.014e-17	1.000000
272	2.265821e-12	1.506510e-06	2.237e+05	1.013e-17	1.000000
273	2.265821e-12	1.506510e-06	2.237e+05	1.013e-17	1.000000
274	2.261836e-12	1.503943e-06	2.237e+05	1.011e-17	1.000000
275	2.261836e-12	1.503943e-06	2.237e+05	1.011e-17	1.000000
276	2.245227e-12	1.502870e-06	2.237e+05	1.004e-17	1.000000
277	2.245227e-12	1.502870e-06	2.237e+05	1.004e-17	1.000000
278	2.237035e-12	1.495681e-06	2.237e+05	1.000e-17	1.000000
279	2.237035e-12	1.495681e-06	2.237e+05	1.000e-17	1.000000
280	2.234297e-12	1.496756e-06	2.237e+05	9.990e-18	1.000000
281	2.234297e-12	1.496756e-06	2.237e+05	9.990e-18	1.000000
282	2.230147e-12	1.495935e-06	2.237e+05	9.971e-18	1.000000
283	2.230147e-12	1.495935e-06	2.237e+05	9.971e-18	1.000000
284	2.225352e-12	1.492365e-06	2.237e+05	9.950e-18	1.000000
285	2.225352e-12	1.492365e-06	2.237e+05	9.950e-18	1.000000
286	2.222870e-12	1.492366e-06	2.237e+05	9.939e-18	1.000000
287	2.222870e-12	1.492366e-06	2.237e+05	9.939e-18	1.000000
288	2.219817e-12	1.493405e-06	2.237e+05	9.925e-18	1.000000
289	2.219817e-12	1.493405e-06	2.237e+05	9.925e-18	1.000000
290	2.218682e-12	1.490036e-06	2.237e+05	9.920e-18	1.000000
291	2.218682e-12	1.490036e-06	2.237e+05	9.920e-18	1.000000
292	2.206449e-12	1.490572e-06	2.237e+05	9.865e-18	1.000000
293	2.206449e-12	1.490572e-06	2.237e+05	9.865e-18	1.000000
294	2.206091e-12	1.485542e-06	2.237e+05	9.863e-18	1.000000
295	2.206091e-12	1.485542e-06	2.237e+05	9.863e-18	1.000000
296	2.202279e-12	1.484318e-06	2.237e+05	9.846e-18	1.000000
297	2.202279e-12	1.484318e-06	2.237e+05	9.846e-18	1.000000
298	2.194003e-12	1.481217e-06	2.237e+05	9.809e-18	1.000000
299	2.192429e-12	1.488087e-06	2.237e+05	9.802e-18	1.000000
300	2.192429e-12	1.488087e-06	2.237e+05	9.802e-18	1.000000
301	2.189222e-12	1.479668e-06	2.237e+05	9.788e-18	1.000000
302	2.189222e-12	1.479668e-06	2.237e+05	9.788e-18	1.000000
303	2.186675e-12	1.479998e-06	2.237e+05	9.777e-18	1.000000
304	2.186675e-12	1.479998e-06	2.237e+05	9.777e-18	1.000000
305	2.186092e-12	1.479512e-06	2.237e+05	9.774e-18	1.000000
306	2.186092e-12	1.479512e-06	2.237e+05	9.774e-18	1.000000
307	2.176810e-12	1.479291e-06	2.237e+05	9.733e-18	1.000000
308	2.176810e-12	1.479291e-06	2.237e+05	9.733e-18	1.000000
309	2.168107e-12	1.477546e-06	2.237e+05	9.694e-18	1.000000
310	2.168107e-12	1.477546e-06	2.237e+05	9.694e-18	1.000000
311	2.167110e-12	1.473304e-06	2.237e+05	9.689e-18	1.000000
312	2.167110e-12	1.473304e-06	2.237e+05	9.689e-18	1.000000
313	2.161680e-12	1.476142e-06	2.237e+05	9.665e-18	1.000000
314	2.161680e-12	1.476142e-06	2.237e+05	9.665e-18	1.000000
315	2.161462e-12	1.473432e-06	2.237e+05	9.664e-18	1.000000
316	2.161462e-12	1.473432e-06	2.237e+05	9.664e-18	1.000000
317	2.140579e-12	1.463971e-06	2.237e+05	9.571e-18	1.000000
318	2.140579e-12	1.463971e-06	2.237e+05	9.571e-18	1.000000
319	2.138986e-12	1.462850e-06	2.237e+05	9.563e-18	1.000000
320	2.138986e-12	1.462850e-06	2.237e+05	9.563e-18	1.000000
321	2.138598e-12	1.462408e-06	2.237e+05	9.562e-18	1.000000
322	2.138598e-12	1.462408e-06	2.237e+05	9.562e-18	1.000000
323	2.133049e-12	1.460496e-06	2.237e+05	9.537e-18	1.000000
324	2.131045e-12	1.462296e-06	2.237e+05	9.528e-18	1.000000
325	2.131045e-12	1.462296e-06	2.237e+05	9.528e-18	1.000000
326	2.127146e-12	1.460861e-06	2.237e+05	9.511e-18	1.000000
327	2.127146e-12	1.460861e-06	2.237e+05	9.511e-18	1.000000
328	2.119700e-12	1.459840e-06	2.237e+05	9.477e-18	1.000000
329	2.119700e-12	1.459840e-06	2.237e+05	9.477e-18	1.000000
330	2.117212e-12	1.455344e-06	2.237e+05	9.466e-18	1.000000
331	2.117212e-12	1.455344e-06	2.237e+05	9.466e-18	1.000000
332	2.110599e-12	1.452790e-06	2.237e+05	9.437e-18	1.000000
333	2.107508e-12	1.452228e-06	2.237e+05	9.423e-18	1.000000
334	2.107508e-12	1.452228e-06	2.237e+05	9.423e-18	1.000000
335	2.107186e-12	1.452859e-06	2.237e+05	9.421e-18	1.000000
