% Model:              simplets_Heat_Equation.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jun 12 2023, 16:55
% Table:              Table 1 - System Matrix 1
% Row                    Column                   Value
1                        1                        835.3558172229375
2                        1                        -91.9463126663756
3                        1                        22.98657816659389
4                        1                        70.49599448588809
5                        1                        -281.9839779435522
8                        1                        18.302699755163985
9                        1                        -73.21079902065601
1                        2                        -91.9463126663756
2                        2                        981.4073388488243
3                        2                        -91.94631266637575
5                        2                        -544.4284229797779
6                        2                        -253.08629053629542
1                        3                        22.98657816659389
2                        3                        -91.94631266637575
3                        3                        725.8013715528109
4                        3                        123.75600972464426
6                        3                        -495.0240388985767
11                       3                        -272.1426255076595
12                       3                        68.03565637691486
14                       3                        -108.62218499780393
15                       3                        27.155546249450953
1                        4                        70.49599448588809
3                        4                        123.75600972464426
4                        4                        1482.1373211012517
5                        4                        -281.98397794355265
6                        4                        -495.0240388985768
7                        4                        -496.61891078771407
8                        4                        124.15472769692857
10                       4                        -361.45645003119466
12                       4                        90.36411250779867
18                       4                        -341.0997171406336
19                       4                        85.27492928515838
1                        5                        -281.9839779435522
2                        5                        -544.4284229797779
4                        5                        -281.98397794355265
5                        5                        1961.174956485377
6                        5                        -183.89262533275064
7                        5                        -146.42159804131146
9                        5                        -522.4643542444327
2                        6                        -253.08629053629542
3                        6                        -495.0240388985767
4                        6                        -495.0240388985768
5                        6                        -183.89262533275064
6                        6                        1930.053003937197
10                       6                        -196.99122628550558
11                       6                        -306.0347839854923
4                        7                        -496.61891078771407
5                        7                        -146.42159804131146
7                        7                        1943.2011742860425
8                        7                        -496.61891078771384
9                        7                        -310.88166535080745
18                       7                        -155.96774653969146
20                       7                        -336.69234277880446
1                        8                        18.302699755163985
4                        8                        124.15472769692857
7                        8                        -496.61891078771384
8                        8                        729.2303269321364
9                        8                        -73.21079902065615
19                       8                        64.04364806897357
20                       8                        -256.1745922758943
22                       8                        -146.3028004919188
24                       8                        36.57570012297968
1                        9                        -73.21079902065601
5                        9                        -522.4643542444327
7                        9                        -310.88166535080745
8                        9                        -73.21079902065615
9                        9                        979.7676176365519
4                        10                       -361.45645003119466
6                        10                       -196.99122628550558
10                       10                       1895.202991501862
11                       10                       -445.6196548173731
12                       10                       -361.45645003119444
18                       10                       -184.17211883413455
21                       10                       -345.50709150246036
3                        11                       -272.1426255076595
6                        11                       -306.0347839854923
10                       11                       -445.6196548173731
11                       11                       1883.3923127713774
12                       11                       -272.1426255076595
13                       11                       -217.24436999560706
14                       11                       -370.2082529575868
3                        12                       68.03565637691486
4                        12                       90.36411250779867
10                       12                       -361.45645003119444
11                       12                       -272.1426255076595
12                       12                       1402.7579831792696
13                       12                       -357.7302337618379
15                       12                       89.4325584404595
19                       12                       61.66961456811057
21                       12                       -246.6784582724424
25                       12                       -358.2667759376909
26                       12                       89.56669398442276
28                       12                       68.5173585153842
31                       12                       -274.0694340615369
11                       13                       -217.24436999560706
12                       13                       -357.7302337618379
13                       13                       1862.4963637640308
14                       13                       -347.2940247298116
15                       13                       -357.7302337618379
29                       13                       -252.6489741961171
31                       13                       -329.8485273188199
3                        14                       -108.62218499780393
11                       14                       -370.2082529575868
13                       14                       -347.2940247298116
14                       14                       934.7466476830059
15                       14                       -108.62218499780394
3                        15                       27.155546249450953
12                       15                       89.4325584404595
13                       15                       -357.7302337618379
14                       15                       -108.62218499780394
15                       15                       699.7787194143948
16                       15                       -117.37549417891158
17                       15                       29.34387354472788
28                       15                       87.32759490349356
29                       15                       -349.3103796139742
15                       16                       -117.37549417891158
16                       16                       931.3893103857908
17                       16                       -117.37549417891158
29                       16                       -327.8660901188416
30                       16                       -368.7722319091264
15                       17                       29.34387354472788
16                       17                       -117.37549417891158
17                       17                       721.8099397031733
28                       17                       64.45980989181399
30                       17                       -257.839239567256
33                       17                       121.48978461846968
35                       17                       -485.9591384738785
37                       17                       -101.23938071751972
38                       17                       25.30984517937989
4                        18                       -341.0997171406336
7                        18                       -155.96774653969146
10                       18                       -184.17211883413455
18                       18                       1909.9908830629797
19                       18                       -341.0997171406333
20                       18                       -470.77346733099284
21                       18                       -416.87811607689486
4                        19                       85.27492928515838
8                        19                       64.04364806897357
12                       19                       61.66961456811057
18                       19                       -341.0997171406333
19                       19                       1363.8961694404443
20                       19                       -256.17459227589427
21                       19                       -246.6784582724423
23                       19                       -254.86641586025723
24                       19                       63.71660396506428
26                       19                       51.617855160699264
27                       19                       -206.47142064279714
39                       19                       72.7622660874155
40                       19                       -291.0490643496619
42                       19                       55.54713934472721
44                       19                       -222.18855737890885
7                        20                       -336.69234277880446
8                        20                       -256.1745922758943
18                       20                       -470.77346733099284
19                       20                       -256.17459227589427
20                       20                       1890.0305150579427
22                       20                       -277.6099194125211
23                       20                       -292.60560098383655
10                       21                       -345.50709150246036
12                       21                       -246.6784582724424
18                       21                       -416.87811607689486
19                       21                       -246.6784582724423
21                       21                       1880.8717548764955
25                       21                       -231.7384719366287
27                       21                       -393.3911588156277
8                        22                       -146.3028004919188
20                       22                       -277.6099194125211
22                       22                       926.5969584084537
23                       22                       -356.3814380120953
24                       22                       -146.30280049191873
19                       23                       -254.86641586025723
20                       23                       -292.60560098383655
22                       23                       -356.3814380120953
23                       23                       1875.0593884932412
24                       23                       -254.8664158602573
43                       23                       -257.5718125605504
44                       23                       -458.76770521624485
8                        24                       36.57570012297968
19                       24                       63.71660396506428
22                       24                       -146.30280049191873
23                       24                       -254.8664158602573
24                       24                       709.0834326850767
42                       24                       110.58748266421769
43                       24                       -442.3499306568706
47                       24                       25.48135747609755
48                       24                       -101.9254299043903
12                       25                       -358.2667759376909
21                       25                       -231.7384719366287
25                       25                       1858.3933223772563
26                       25                       -358.2667759376909
27                       25                       -309.18479771074846
31                       25                       -305.44660692754314
32                       25                       -295.48989392695484
12                       26                       89.56669398442276
19                       26                       51.617855160699264
25                       26                       -358.2667759376909
26                       26                       1427.3998822904944
27                       26                       -206.47142064279734
28                       26                       92.64496535940808
32                       26                       -370.5798614376322
39                       26                       105.07712133630812
41                       26                       -420.30848534523227
50                       26                       -318.0114498598898
51                       26                       79.50286246497245
53                       26                       57.39046245768809
55                       26                       -229.5618498307526
19                       27                       -206.47142064279714
21                       27                       -393.3911588156277
25                       27                       -309.18479771074846
26                       27                       -206.47142064279734
27                       27                       1897.0047058626026
40                       27                       -489.9612628166043
41                       27                       -291.5246452340283
12                       28                       68.5173585153842
15                       28                       87.32759490349356
17                       28                       64.45980989181399
26                       28                       92.64496535940808
28                       28                       1409.5609305311102
29                       28                       -349.3103796139742
30                       28                       -257.839239567256
31                       28                       -274.06943406153687
32                       28                       -370.5798614376323
33                       28                       97.51241889515158
