% Model:              Heat_Equation.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 24 2023, 19:12
% Dimension:          2
% Nodes:              149
% Expressions:        11
% Description:        Temperature
% Length unit:        cm
% X                       Y                        T (K) @ t=0              T (K) @ t=0.1            T (K) @ t=0.2            T (K) @ t=0.3            T (K) @ t=0.4            T (K) @ t=0.5            T (K) @ t=0.6            T (K) @ t=0.7            T (K) @ t=0.8            T (K) @ t=0.9            T (K) @ t=1
0.16413100439957398       2.8356531299846313       293.17115766583976       252.19516325809133       250.4527790091015        250.0794107347042        250.0057913597394        249.98339001487815       249.98237425323038       249.9846857862089        249.98621815138          249.9867910430349        249.98688063548715
0                         3                        249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0                         2.75                     249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.24999999999999997       3                        249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.21151723192335256       2.6216122012155694       293.1555692177939        255.91256697080456       251.26760506730244       250.2259782418919        250.01245389631114       249.94658494987908       249.9425915005513        249.94871562288338       249.95288959359144       249.9544226262485        249.95461243048382
0                         2.5                      249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.3587277704612917        2.807217095008085        293.15836510456535       254.68303374421058       250.969990981941         250.17031738254227       250.0121401507749        249.96395305452617       249.9617015930007        249.96662941973213       249.96990372528333       249.97112602383982       249.9713138498789
0.49999999999999994       3                        249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.1893988543303433        2.3711549484900303       293.1571388246453        257.7680240951417        251.7943576061758        250.32673539696637       250.00065637642953       249.89711266866934       249.88761987898917       249.89505400227378       249.90050179118975       249.90238254064238       249.90241308598775
0                         2.25                     249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.35649721398711987       2.4647935104915915       293.152413962783         261.25250321886836       252.52143159044346       250.455920965204         250.0123391365634        249.87321622145018       249.86227077158878       249.87350195108246       249.8814591767536        249.88429315638527       249.88449156617244
0.4118657802851394        2.6224667245346467       293.15240259803454       259.18821748411733       251.97078003061193       250.35115494273342       250.01919875418008       249.91679924720765       249.91058740749037       249.92010430212218       249.92659062729345       249.92897227256304       249.9292663345512
0.6148525980000061        2.7635705328811877       293.15391195308445       255.8916855302978        251.22787014691224       250.21608775683174       250.01467935030243       249.95318080568205       249.95014844372707       249.95633058941783       249.9604560783352        249.96199137108528       249.96221897038168
0.7499999999999998        3                        249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.837273594879667         2.8238169933381756       293.16962121892965       252.33202839162482       250.48172752565011       250.0844942305739        250.0060298326914        249.98213786900723       249.98103618897963       249.98348875603423       249.9851163722172        249.9857240912408        249.98581795176602
1                         3                        249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.2022828674324918        2.135675798047968        293.1553503798886        259.52575066968126       252.38869545052447       250.42962961109268       249.94761248798275       249.7883899187842        249.76747291271386       249.77443195000725       249.78042297623372       249.78211190038635       249.78151672384845
0                         2                        249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.40949737103444145       2.2647165824990383       293.1517989302106        264.45324197680185       253.46479545596205       250.6305654454899        249.972577559948         249.7601495866775        249.73704069819306       249.7497437121829        249.75957676935425       249.76276724979053       249.76247764040363
0.575552012730846         2.4672606974821085       293.15178045800025       262.12405455578113       252.7136369454233        250.48995240892276       250.01290237252118       249.86332705178734       249.8516024534501        249.86370187772675       249.87226600880123       249.8753154014542        249.87552919722992
0.8215153763983287        2.6055144338096916       293.1578900348763        255.2687837043704        251.1340103292588        250.2022198711962        250.01033464524474       249.95103980083016       249.94733329289758       249.95276841666063       249.95648515198835       249.95784530920454       249.95800592161268
1                         2.7500000000000004       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.20295414455119223       1.8931661260227983       293.15547306069533       260.0992510005581        252.7069257116359        250.42549657166205       249.7944165665815        249.5748055543804        249.53526683872278       249.53687713955742       249.54060085095702       249.54048870290634       249.53829785786965
0                         1.7500000000000002       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.41177168070634484       2.035229315570447        293.15163034118933       265.9181550115458        254.11653797257068       250.71157863490816       249.83222785913287       249.53567604999026       249.49081722451209       249.49942025676003       249.50813411782102       249.50998178089858       249.50815207388897
